coordinates,Power generated,Power capacity,Remaining Capacity,KVlevels,color,generation name,number of buses,generation type,county,state
POINT (-119.0305 35.509),49.800000999999995,49.8,9.999999974752427e-07,"{1.0, 138.0, 22.0}",orange,BAKERSFIELD 27,4,ng,Kern,California
POINT (-118.3547 35.0542),119.760003,119.75999999999999,3.000000006636583e-06,"{345.0, 138.0, 13.8}",green,TEHACHAPI 5,6,wind,Kern,California
POINT (-118.2248 33.7641),251.999999,252.0,9.999999974752427e-07,"{345.0, 138.0}",orange,LONG BEACH 26,2,ng,Los Angeles,California
POINT (-118.2233 35.0268),132.000001,132.0,9.999999974752427e-07,"{138.0, 18.0}",green,MOJAVE 6,3,wind,Kern,California
POINT (-118.1714 35.0506),42.100001999999996,42.1,1.9999999949504854e-06,{138.0},green,MOJAVE 7,1,wind,Kern,California
POINT (-117.5659 35.0148),0.0,0.0,0.0,{138.0},yellow,BORON 2,1,solar,San Bernardino,California
POINT (-119.046 35.5005),49.800000999999995,49.8,9.999999974752427e-07,"{138.0, 18.0}",orange,BAKERSFIELD 28,3,ng,Kern,California
POINT (-120.0444 34.4648),49.3,49.3,0.0,{138.0},orange,GOLETA 4,2,ng,Santa Barbara,California
POINT (-118.1494 34.126),178.6,178.6,0.0,"{345.0, 138.0}",orange,PASADENA 8,3,ng,Los Angeles,California
POINT (-118.2644 33.7856),548.109998,548.11,1.9999999949504854e-06,"{345.0, 138.0, 765.0}",orange,WILMINGTON 3,3,ng,Los Angeles,California
POINT (-118.3247 34.6892),34.040003,34.04,2.9999999995311555e-06,"{345.0, 138.0, 13.8, 1.0}",yellow,LANCASTER 8,4,solar,Los Angeles,California
POINT (-118.2932 35.0309),129.410001,129.41,9.999999974752427e-07,"{138.0, 13.8}",green,MOJAVE 8,2,wind,Kern,California
POINT (-118.3158 35.075),0.0,0.0,0.0,{138.0},green,MOJAVE 9,2,wind,Kern,California
POINT (-119.662 35.3195),46.0,46.0,0.0,{138.0},orange,MC KITTRICK 1,1,ng,Kern,California
POINT (-118.2219 33.9986),193.29,193.29,0.0,"{345.0, 138.0, 22.0, 1.0}",orange,LOS ANGELES 80,4,ng,Los Angeles,California
POINT (-118.2348 35.0267),135.750001,135.75,9.999999974752427e-07,"{138.0, 22.0}",green,MOJAVE 10,2,wind,Kern,California
POINT (-119.1664 34.1958),64.050001,64.05,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",orange,OXNARD 12,4,ng,Ventura,California
POINT (-119.0129 35.4405),18.0,18.0,0.0,{138.0},orange,BAKERSFIELD 29,1,ng,Kern,California
POINT (-118.2118 35.0434),90.810001,90.81,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,MOJAVE 11,3,wind,Kern,California
POINT (-119.0298 35.4837),0.0,0.0,0.0,{138.0},orange,BAKERSFIELD 30,1,ng,Kern,California
POINT (-118.395 33.8504),1316.399997,1316.4,3.000000106112566e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,REDONDO BEACH 4,8,ng,Los Angeles,California
POINT (-117.7742 34.0594),46.0,46.0,0.0,"{345.0, 138.0}",orange,POMONA 7,4,ng,Los Angeles,California
POINT (-118.4439 34.0692),14.33,14.33,0.0,{138.0},orange,LOS ANGELES 81,3,ng,Los Angeles,California
POINT (-118.4031 33.9058),150.100001,150.1,9.999999974752427e-07,"{1.0, 138.0, 13.8}",orange,EL SEGUNDO 3,5,ng,Los Angeles,California
POINT (-118.9266 35.4192),45.999999,46.0,9.999999974752427e-07,{138.0},orange,BAKERSFIELD 31,1,ng,Kern,California
POINT (-119.2511 34.2067),574.000003,574.0,2.999999992425728e-06,"{138.0, 13.8, 22.0, 345.0, 765.0}",orange,OXNARD 13,6,ng,Ventura,California
POINT (-118.2867 33.7686),58.499999,58.5,9.999999974752427e-07,"{24.0, 138.0, 18.0}",orange,WILMINGTON 4,3,ng,Los Angeles,California
POINT (-118.3147 34.1764),109.7,109.7,0.0,{138.0},orange,BURBANK 9,2,ng,Los Angeles,California
POINT (-118.3534 35.0337),108.590001,108.59,9.999999974752427e-07,"{138.0, 13.8}",green,MOJAVE 12,2,wind,Kern,California
POINT (-119.585 35.2097),403.600002,403.6,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,FELLOWS 1,6,ng,Kern,California
POINT (-119.0299 35.4837),46.0,46.0,0.0,"{345.0, 138.0, 18.0}",orange,BAKERSFIELD 32,4,ng,Kern,California
POINT (-118.3913 34.245),480.499998,480.5,1.9999999949504854e-06,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,SUN VALLEY 2,7,ng,Los Angeles,California
POINT (-118.2836 33.7683),9.6,9.6,0.0,"{1.0, 138.0, 18.0, 20.0}",orange,CARSON 8,6,ng,Los Angeles,California
POINT (-119.4436 35.093),47.5,47.5,0.0,"{345.0, 138.0, 13.8}",orange,TAFT 2,4,ng,Kern,California
POINT (-118.0241 34.0233),44.910003,44.910000000000004,2.9999999995311555e-06,"{345.0, 138.0, 13.8, 1.0}",orange,WHITTIER 9,5,ng,Los Angeles,California
POINT (-118.2347 33.7917),98.510002,98.51,1.9999999949504854e-06,{138.0},orange,CARSON 9,3,ng,Los Angeles,California
POINT (-118.7881 34.6853),14.260001,14.26,1.0000000010279564e-06,"{345.0, 138.0, 18.0}",blue,LEBEC 2,4,hydro,Los Angeles,California
POINT (-118.1864 35.3478),120.310001,120.31,9.999999974752427e-07,"{345.0, 138.0, 13.8}",green,WELDON,3,wind,Kern,California
POINT (-119.2337 35.7144),24.880001,24.88,1.0000000010279564e-06,"{345.0, 138.0}",yellow,DELANO 4,2,solar,Kern,California
POINT (-117.5661 35.021),30.230002,30.229999999999997,2.0000000020559128e-06,"{138.0, 13.8}",yellow,BORON 3,2,solar,San Bernardino,California
POINT (-118.1009 33.7688),1601.6500079999998,1601.6499999999999,7.999999979801942e-06,"{138.0, 13.8, 18.0, 20.0, 345.0, 765.0}",orange,LONG BEACH 27,10,ng,Los Angeles,California
POINT (-118.4999 34.3801),90.0,90.0,0.0,"{345.0, 138.0, 13.8, 1.0}",orange,NEWHALL 3,5,ng,Los Angeles,California
POINT (-117.701 35.0329),48.199999,48.2,1.00000000458067e-06,"{138.0, 13.8}",orange,BORON 4,3,ng,Kern,California
POINT (-118.2422 35.0086),249.910003,249.91,2.999999992425728e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",green,MOJAVE 13,7,wind,Kern,California
POINT (-118.39 35.065),26.910003000000003,26.91,3.000000003083869e-06,"{138.0, 13.8}",green,MOJAVE 14,6,wind,Kern,California
POINT (-118.3153 34.1786),193.8,193.8,0.0,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,BURBANK 10,5,ng,Los Angeles,California
POINT (-120.8555 35.2115),2323.000022,2323.0,2.2000000171829015e-05,"{138.0, 13.8, 24.0, 345.0, 765.0}",red,AVILA BEACH,7,nuclear,San Luis Obispo,California
POINT (-118.33 33.8534),22.5,22.5,0.0,"{1.0, 138.0, 18.0}",orange,TORRANCE 8,5,ng,Los Angeles,California
POINT (-120.0686 35.4056),327.430003,327.43,2.999999992425728e-06,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",yellow,SANTA MARGARITA 2,8,solar,San Luis Obispo,California
POINT (-118.5047 34.7892),66.000001,66.0,9.999999974752427e-07,{138.0},yellow,LANCASTER 9,2,solar,Los Angeles,California
POINT (-119.4707 35.2803),246.060002,246.06,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 18.0, 20.0, 345.0, 765.0}",yellow,TUPMAN 2,8,solar,Kern,California
POINT (-119.5919 35.2956),1505.066139,1505.1,0.03386099999988801,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,MC KITTRICK 2,7,ng,Kern,California
POINT (-119.6294 35.2269),233.999999,234.0,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",orange,FELLOWS 2,4,ng,Kern,California
POINT (-118.0991 33.7647),1299.1400000000003,1299.1400000000003,0.0,"{138.0, 13.8, 22.0, 24.0, 345.0}",orange,LONG BEACH 28,14,ng,Los Angeles,California
POINT (-119.571 35.1946),39.1,39.1,0.0,{138.0},orange,FELLOWS 3,1,ng,Kern,California
POINT (-118.2303 33.7771),107.39999999999999,107.39999999999999,0.0,"{1.0, 138.0, 13.8, 22.0}",orange,WILMINGTON 5,8,ng,Los Angeles,California
POINT (-118.6566 34.5872),1246.330012,1246.33,1.1999999969702912e-05,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",blue,CASTAIC 3,11,hydro,Los Angeles,California
POINT (-118.4362 35.7762),34.090004,34.09,3.999999997006398e-06,"{345.0, 138.0}",blue,KERNVILLE,2,hydro,Kern,California
POINT (-118.4949 34.3841),42.8,42.8,0.0,"{138.0, 13.8}",orange,NEWHALL 4,2,ng,Los Angeles,California
POINT (-118.2414 35.0083),83.110001,83.11,9.999999974752427e-07,"{138.0, 13.8}",green,MOJAVE 15,3,wind,Kern,California
POINT (-118.4276 33.9182),823.1999989999999,823.1999999999999,9.999999974752427e-07,"{345.0, 138.0, 13.8, 765.0}",orange,PLAYA DEL REY,6,ng,Los Angeles,California
POINT (-119.4299 35.0968),46.0,46.0,0.0,"{138.0, 13.8}",orange,BAKERSFIELD 33,2,ng,Kern,California
POINT (-118.5251 34.5343),54.590006,54.589999999999996,6.000000006167738e-06,"{1.0, 138.0, 13.8, 18.0, 24.0, 345.0}",blue,SANTA CLARITA 5,9,hydro,Los Angeles,California
POINT (-119.7075 35.4386),94.19999999999999,94.19999999999999,0.0,"{345.0, 138.0, 13.8, 1.0}",orange,MC KITTRICK 3,4,ng,Kern,California
POINT (-118.2 35.06),110.940001,110.94,9.999999974752427e-07,"{138.0, 22.0}",green,MOJAVE 16,3,wind,Kern,California
POINT (-118.3967 34.8022),140.550004,140.55,3.999999989900971e-06,{138.0},yellow,ROSAMOND 7,1,solar,Los Angeles,California
POINT (-118.2782 34.1556),243.52000199999998,243.51999999999998,1.9999999949504854e-06,"{345.0, 138.0}",orange,GLENDALE 8,2,ng,Los Angeles,California
POINT (-117.3236 35.0111),129.920003,129.92000000000002,2.999999992425728e-06,"{345.0, 138.0, 13.8, 765.0}",yellow,HINKLEY 1,7,solar,San Bernardino,California
POINT (-117.1174 33.1219),58.9,58.9,0.0,"{138.0, 13.8}",orange,ESCONDIDO 8,2,ng,San Diego,California
POINT (-116.5422 33.9228),39.870001,39.87,1.00000000458067e-06,"{138.0, 13.8}",green,NORTH PALM SPRINGS 1,2,wind,Riverside,California
POINT (-116.9439 32.5624),60.5,60.5,0.0,"{138.0, 13.8}",orange,SAN DIEGO 48,2,ng,San Diego,California
POINT (-115.2637 32.7757),30.610003,30.61,2.9999999995311555e-06,"{1.0, 138.0, 13.8, 18.0, 345.0}",yellow,HOLTVILLE 2,7,solar,Imperial,California
POINT (-115.3939 33.8231),321.330009,321.33000000000004,8.999999977277184e-06,"{138.0, 13.8, 18.0, 22.0, 24.0, 345.0, 765.0}",yellow,DESERT CENTER,12,solar,Riverside,California
POINT (-115.6478 32.6869),142.240006,142.23999999999998,6.000000013273166e-06,"{345.0, 138.0, 13.8}",yellow,CALEXICO 3,6,solar,Imperial,California
POINT (-115.5439 33.0139),35.540003,35.54,2.9999999995311555e-06,{138.0},yellow,HOLTVILLE 3,1,solar,Imperial,California
POINT (-116.3425 32.7056),40.210001,40.21,9.999999974752427e-07,"{138.0, 18.0}",green,CAMPO,2,wind,San Diego,California
POINT (-115.4686 35.5561),0.0,0.0,0.0,"{345.0, 138.0, 765.0, 22.0}",yellow,NIPTON 1,4,solar,San Bernardino,California
POINT (-116.5714 33.9342),673.8500010000001,673.8500000000001,9.999999974752427e-07,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,DESERT HOT SPRINGS 4,11,ng,Riverside,California
POINT (-117.1664 32.8769),106.0,106.0,0.0,"{345.0, 138.0, 13.8, 1.0}",orange,SAN DIEGO 49,8,ng,San Diego,California
POINT (-117.2418 34.0818),1036.8000050000003,1036.8,5.000000328436727e-06,"{138.0, 13.8, 18.0, 22.0, 345.0, 765.0}",orange,REDLANDS 5,9,ng,San Bernardino,California
POINT (-117.0995 33.1185),51.4,51.4,0.0,"{1.0, 138.0, 13.8}",orange,ESCONDIDO 9,4,ng,San Diego,California
POINT (-117.5266 34.0912),666.000004,666.0,3.999999989900971e-06,"{345.0, 138.0, 18.0, 765.0}",orange,RANCHO CUCAMONGA 8,5,ng,San Bernardino,California
POINT (-117.5604 34.0053),73.30000100000001,73.3,1.0000000116860974e-06,"{24.0, 345.0, 138.0, 1.0}",orange,ONTARIO 8,5,ng,San Bernardino,California
POINT (-115.518 32.7146),15.420001,15.42,9.999999992515995e-07,{138.0},yellow,HEBER 2,1,solar,Imperial,California
POINT (-116.9721 32.7965),48.7,48.7,0.0,{138.0},orange,EL CAJON 7,2,ng,San Diego,California
POINT (-117.1114 33.3594),118.0,118.0,0.0,"{1.0, 138.0, 13.8, 20.0, 345.0}",orange,PALA,7,ng,San Diego,California
POINT (-117.3833 35.765),62.489999999999995,62.489999999999995,0.0,"{24.0, 345.0, 138.0, 1.0}",gray,TRONA,5,coal,San Bernardino,California
POINT (-117.8219 33.613),39.000001999999995,39.0,1.9999999949504854e-06,"{138.0, 18.0, 13.8}",orange,IRVINE 9,4,ng,Orange,California
POINT (-115.616 33.1646),24.070001,24.07,1.0000000010279564e-06,{138.0},yellow,CALIPATRIA 2,1,solar,Imperial,California
POINT (-116.5527 33.9393),35.750001,35.75,9.999999974752427e-07,{138.0},green,NORTH PALM SPRINGS 2,2,wind,Riverside,California
POINT (-115.6387 33.1582),80.110005,80.11,5.000000001587068e-06,"{345.0, 138.0, 18.0, 13.8}",yellow,CALIPATRIA 3,5,solar,Imperial,California
POINT (-117.3603 34.0414),60.5,60.5,0.0,"{345.0, 138.0}",orange,COLTON 3,2,ng,San Bernardino,California
POINT (-116.0873 33.586),55.500001,55.5,9.999999974752427e-07,"{345.0, 138.0}",yellow,MECCA 2,2,solar,Riverside,California
POINT (-115.5364 32.9553),49.8,49.8,0.0,{138.0},orange,BRAWLEY 3,1,ng,Imperial,California
POINT (-117.2392 32.8747),22.000002,22.0,1.999999998503199e-06,"{138.0, 13.8}",orange,RANCHO SANTA FE,3,ng,San Diego,California
POINT (-117.338 35.033),62.020001,62.02,9.999999974752427e-07,{138.0},yellow,HINKLEY 2,2,solar,San Bernardino,California
POINT (-117.1178 33.1197),558.990001,558.99,9.999999974752427e-07,"{138.0, 13.8, 18.0, 345.0, 765.0}",orange,ESCONDIDO 10,6,ng,San Diego,California
POINT (-117.3647 34.5953),659.000004,659.0,3.999999989900971e-06,"{138.0, 13.2, 13.8, 22.0, 345.0, 765.0}",orange,VICTORVILLE 7,8,ng,San Bernardino,California
POINT (-116.9721 32.7961),67.9,67.9,0.0,"{345.0, 138.0}",orange,EL CAJON 8,3,ng,San Diego,California
POINT (-115.565 33.1779),37.680002,37.68,2.0000000020559128e-06,{138.0},yellow,CALIPATRIA 4,1,solar,Imperial,California
POINT (-116.5527 33.8816),0.0,0.0,0.0,{138.0},green,NORTH PALM SPRINGS 3,1,wind,Riverside,California
POINT (-117.3344 34.2056),176.060005,176.06,4.9999999873762135e-06,"{1.0, 138.0, 13.8, 18.0, 24.0, 345.0}",blue,SAN BERNARDINO 10,9,hydro,San Bernardino,California
POINT (-117.3563 35.0308),69.000001,69.0,9.999999974752427e-07,{138.0},yellow,HINKLEY 3,1,solar,San Bernardino,California
POINT (-117.6085 33.8912),49.0,49.0,0.0,"{1.0, 138.0, 13.8}",orange,CORONA 11,4,ng,Riverside,California
POINT (-117.8563 33.8535),49.2,49.2,0.0,{138.0},orange,ANAHEIM 14,3,ng,Orange,California
POINT (-115.47 33.08),137.290003,137.29000000000002,2.999999992425728e-06,"{345.0, 138.0}",yellow,CALIPATRIA 5,2,solar,Imperial,California
POINT (-114.6865 33.6157),591.000003,591.0,2.999999992425728e-06,"{1.0, 138.0, 13.8, 115.0, 22.0, 24.0, 345.0, 765.0}",orange,BLYTHE 2,10,ng,Riverside,California
POINT (-115.4525 35.5331),133.000001,133.0,9.999999974752427e-07,"{138.0, 20.0}",yellow,NIPTON 2,3,solar,San Bernardino,California
POINT (-115.5119 32.9038),27.190002,27.189999999999998,2.0000000020559128e-06,"{138.0, 13.8}",yellow,IMPERIAL 2,4,solar,Imperial,California
POINT (-117.3235 34.3074),21.800002,21.8,1.999999998503199e-06,"{1.0, 138.0, 20.0}",blue,HESPERIA 5,4,hydro,San Bernardino,California
POINT (-117.1664 32.8761),49.0,49.0,0.0,"{138.0, 22.0}",orange,SAN DIEGO 50,2,ng,San Diego,California
POINT (-115.6386 33.157),0.0,0.0,0.0,{138.0},yellow,CALIPATRIA 6,1,solar,Imperial,California
POINT (-116.0447 32.7528),265.400003,265.4,3.000000049269147e-06,"{345.0, 138.0, 13.8, 765.0}",green,OCOTILLO,4,wind,Imperial,California
POINT (-117.1897 32.7052),32.95,32.95,0.0,"{345.0, 138.0}",orange,CORONADO 2,4,ng,San Diego,California
POINT (-115.7264 32.7533),0.0,0.0,0.0,"{345.0, 138.0, 13.2}",yellow,SEELEY,3,solar,Imperial,California
POINT (-114.7139 32.7366),25.410003000000003,25.41,3.000000003083869e-06,"{345.0, 138.0}",blue,WINTERHAVEN,3,hydro,Imperial,California
POINT (-116.6222 33.9447),25.400001,25.4,1.0000000010279564e-06,"{138.0, 13.8}",green,DESERT HOT SPRINGS 5,2,wind,Riverside,California
POINT (-115.54 32.8022),358.29999900000007,358.30000000000007,9.999999974752427e-07,"{1.0, 138.0, 13.8, 345.0, 765.0}",orange,EL CENTRO 3,5,ng,Imperial,California
POINT (-116.553 33.9109),99.8,99.8,0.0,"{345.0, 138.0, 13.8}",orange,NORTH PALM SPRINGS 4,4,ng,Riverside,California
POINT (-117.1224 32.6793),83.100002,83.10000000000001,1.9999999949504854e-06,"{1.0, 138.0, 13.8}",orange,SAN DIEGO 51,5,ng,San Diego,California
POINT (-117.5402 34.0454),34.0,34.0,0.0,"{138.0, 13.8}",orange,ONTARIO 9,2,ng,San Bernardino,California
POINT (-115.5873 32.6711),116.370002,116.37,1.9999999949504854e-06,"{345.0, 138.0}",yellow,CALEXICO 4,2,solar,Imperial,California
POINT (-117.3533 34.0606),22.400001,22.4,1.0000000010279564e-06,"{1.0, 138.0, 13.8}",orange,COLTON 4,8,ng,San Bernardino,California
POINT (-117.9832 33.8073),49.8,49.8,0.0,"{138.0, 20.0}",orange,STANTON 2,3,ng,Orange,California
POINT (-115.6167 33.1633),17.700001,17.7,1.0000000010279564e-06,{138.0},yellow,CALIPATRIA 7,1,solar,Imperial,California
POINT (-114.9981 33.665),74.500001,74.5,9.999999974752427e-07,"{345.0, 138.0, 13.8}",yellow,BLYTHE 3,8,solar,Riverside,California
POINT (-117.2933 33.9308),0.0,0.0,0.0,{138.0},orange,RIVERSIDE 17,2,ng,Riverside,California
POINT (-116.8251 34.8659),47.110003999999996,47.11,3.999999997006398e-06,"{345.0, 138.0, 20.0, 13.8}",yellow,DAGGETT,6,solar,San Bernardino,California
POINT (-115.5356 32.7144),81.640007,81.63999999999999,7.000000010748408e-06,"{1.0, 138.0, 13.8, 18.0, 20.0, 345.0}",yellow,HEBER 3,13,solar,Imperial,California
POINT (-117.1338 32.834),72.0,72.0,0.0,"{345.0, 138.0}",orange,SAN DIEGO 52,2,ng,San Diego,California
POINT (-117.1194 33.0586),31.010002,31.009999999999998,2.0000000020559128e-06,{138.0},blue,ESCONDIDO 11,1,hydro,San Diego,California
POINT (-115.6033 33.1777),0.0,0.0,0.0,"{138.0, 18.0}",yellow,CALIPATRIA 8,2,solar,Imperial,California
POINT (-117.5343 34.0903),49.8,49.8,0.0,"{138.0, 13.8}",orange,RANCHO CUCAMONGA 9,3,ng,San Bernardino,California
POINT (-115.6384 33.1533),33.700001,33.7,9.999999974752427e-07,"{138.0, 13.8}",yellow,CALIPATRIA 9,2,solar,Imperial,California
POINT (-114.1402 34.2953),107.200004,107.2,4.0000000041118255e-06,"{138.0, 13.8, 115.0, 22.0, 345.0}",blue,PARKER DAM,5,hydro,San Bernardino,California
POINT (-116.1714 33.6758),92.4,92.4,0.0,"{138.0, 18.0, 20.0}",orange,COACHELLA 3,5,ng,Riverside,California
POINT (-117.4528 33.9636),196.0,196.0,0.0,"{345.0, 138.0, 13.8}",orange,RIVERSIDE 18,6,ng,Riverside,California
POINT (-117.1172 33.1261),49.9,49.9,0.0,{138.0},orange,ESCONDIDO 12,1,ng,San Diego,California
POINT (-117.3532 34.0609),44.8,44.8,0.0,"{138.0, 13.8}",orange,COLTON 5,3,ng,San Bernardino,California
POINT (-115.5045 33.2388),60.5,60.5,0.0,"{24.0, 345.0, 138.0, 18.0}",orange,NILAND,4,ng,Imperial,California
POINT (-117.5565 33.8827),0.0,0.0,0.0,"{138.0, 13.2}",orange,CORONA 12,3,ng,Riverside,California
POINT (-116.915 32.5815),688.5,688.5,0.0,"{138.0, 13.8, 20.0, 345.0, 765.0}",orange,SAN DIEGO 53,6,ng,San Diego,California
POINT (-115.6583 32.6633),108.980001,108.98,9.999999974752427e-07,"{138.0, 13.8}",yellow,CALEXICO 5,3,solar,Imperial,California
POINT (-117.3364 33.1361),999.6000000000001,999.5999999999999,2.2737367544323206e-13,"{138.0, 13.8, 18.0, 20.0, 345.0, 765.0}",orange,CARLSBAD 6,9,ng,San Diego,California
POINT (-116.5364 33.9603),43.910004,43.91,4.0000000041118255e-06,"{1.0, 138.0, 13.8}",green,NORTH PALM SPRINGS 5,5,wind,Riverside,California
POINT (-116.5781 33.934),50.750002,50.75,2.0000000020559128e-06,{138.0},green,NORTH PALM SPRINGS 6,1,wind,Riverside,California
POINT (-117.9792 33.6439),218.0,218.0,0.0,"{138.0, 13.8, 22.0, 345.0, 765.0}",orange,HUNTINGTON BEACH 7,5,ng,Orange,California
POINT (-117.8402 33.932),22.320003,22.32,2.9999999995311555e-06,{138.0},orange,BREA 3,2,ng,Orange,California
POINT (-116.5642 33.9211),47.360003000000006,47.36,3.000000006636583e-06,"{138.0, 13.8}",green,NORTH PALM SPRINGS 7,4,wind,Riverside,California
POINT (-115.5733 33.2046),39.250001,39.25,9.999999974752427e-07,"{138.0, 18.0, 13.8}",yellow,CALIPATRIA 10,4,solar,Imperial,California
POINT (-116.1525 34.1719),31.800003,31.799999999999997,3.000000003083869e-06,"{345.0, 138.0, 22.0, 1.0}",yellow,TWENTYNINE PALMS 3,5,solar,San Bernardino,California
POINT (-116.9442 32.567),99.80000100000001,99.8,1.0000000116860974e-06,{138.0},orange,SAN DIEGO 54,1,ng,San Diego,California
POINT (-117.0586 32.5917),44.0,44.0,0.0,{138.0},orange,CHULA VISTA 10,2,ng,San Diego,California
POINT (-116.7103 33.915),44.870002,44.87,2.0000000020559128e-06,"{1.0, 138.0, 13.8}",green,CABAZON,4,wind,Riverside,California
POINT (-116.6178 33.925),77.370002,77.37,1.9999999949504854e-06,"{1.0, 138.0, 13.8, 18.0, 24.0}",green,NORTH PALM SPRINGS 8,6,wind,Riverside,California
POINT (-115.4825 35.5808),82.750001,82.75,9.999999974752427e-07,"{138.0, 18.0}",yellow,NIPTON 3,3,solar,San Bernardino,California
POINT (-117.8617 33.8581),200.000001,200.0,9.999999974752427e-07,"{345.0, 138.0, 13.8, 1.0}",orange,ANAHEIM 15,5,ng,Orange,California
POINT (-117.1704 33.7388),409.500003,409.5,2.999999992425728e-06,"{138.0, 18.0, 20.0, 345.0, 765.0}",orange,SUN CITY 4,5,ng,Riverside,California
POINT (-119.7489 39.3887),16.530002,16.53,1.999999998503199e-06,"{161.0, 13.8}",yellow,RENO 20,3,solar,Washoe,Nevada
POINT (-118.1414 40.9961),14.620001,14.62,1.0000000010279564e-06,"{345.0, 161.0}",yellow,WINNEMUCCA 2,2,solar,Humboldt,Nevada
POINT (-119.7645 39.3732),11.490001,11.49,9.999999992515995e-07,"{161.0, 13.8}",yellow,RENO 21,4,solar,Washoe,Nevada
POINT (-114.9933 35.7881),10.000001,10.0,9.999999992515995e-07,{161.0},yellow,BOULDER CITY 2,1,solar,Clark,Nevada
POINT (-118.5725 39.2944),7.910001,7.91,1.000000000139778e-06,"{161.0, 13.8}",yellow,FALLON 2,3,solar,Churchill,Nevada
POINT (-119.5108 39.5603),19.6,19.6,0.0,{161.0},orange,SPARKS 8,3,ng,Storey,Nevada
POINT (-114.9361 35.4797),0.0,0.0,0.0,"{161.0, 138.0}",yellow,SEARCHLIGHT,3,solar,Clark,Nevada
POINT (-119.01 39.796),30.290004,30.29,4.000000000559112e-06,{161.0},yellow,FALLON 3,2,solar,Churchill,Nevada
POINT (-116.1511 41.4828),18.300002,18.3,1.999999998503199e-06,"{161.0, 138.0, 18.0}",yellow,TUSCARORA,3,solar,Elko,Nevada
POINT (-114.87 36.23),26.490001,26.49,1.0000000010279564e-06,"{161.0, 115.0}",yellow,LAS VEGAS 68,3,solar,Clark,Nevada
POINT (-114.9024 36.4306),384.47437199999996,558.8399999999999,174.36562799999996,"{161.0, 13.2, 13.8, 18.0, 345.0}",orange,LAS VEGAS 69,7,ng,Clark,Nevada
POINT (-116.5297 40.7461),52.070007,242.0,189.929993,"{161.0, 1.0, 13.8, 18.0, 345.0}",gray,BATTLE MOUNTAIN 2,5,coal,Eureka,Nevada
POINT (-117.8557 39.9663),60.500001,60.5,9.999999974752427e-07,"{345.0, 161.0}",yellow,FALLON 4,2,solar,Churchill,Nevada
POINT (-118.9535 39.754),22.460002,22.46,1.999999998503199e-06,{161.0},yellow,FALLON 5,1,solar,Churchill,Nevada
POINT (-119.7546 39.3908),24.550002,24.55,1.999999998503199e-06,{161.0},yellow,RENO 22,3,solar,Washoe,Nevada
POINT (-117.1516 40.8813),400.179999,567.0,166.820001,"{161.0, 13.8, 20.0, 345.0, 765.0}",gray,VALMY,5,coal,Humboldt,Nevada
POINT (-116.6175 40.5547),8.340001,8.34,1.0000000010279564e-06,"{161.0, 13.8, 1.0}",yellow,CRESCENT VALLEY,4,solar,Lander,Nevada
POINT (-115.0117 36.0417),127.199989,127.19999999999999,1.0999999986438525e-05,"{345.0, 161.0}",orange,HENDERSON 15,4,ng,Clark,Nevada
POINT (-114.9933 35.7814),36.830005,36.83,5.000000001587068e-06,"{161.0, 138.0, 13.8, 1.0}",yellow,BOULDER CITY 3,6,solar,Clark,Nevada
POINT (-114.9207 36.3432),24.07,24.07,0.0,{161.0},orange,LAS VEGAS 70,2,ng,Clark,Nevada
POINT (-118.5556 39.5475),46.870004,46.87,4.0000000041118255e-06,"{161.0, 13.8}",yellow,FALLON 6,4,solar,Churchill,Nevada
POINT (-114.9942 35.7889),261.540019,536.01,274.469981,"{161.0, 1.0, 13.8, 18.0, 345.0}",orange,BOULDER CITY 4,7,ng,Clark,Nevada
POINT (-114.6333 36.6573),294.8,294.8,0.0,"{345.0, 161.0, 13.2}",gray,MOAPA 2,3,coal,Clark,Nevada
POINT (-114.8783 36.2253),72.209998,72.21000000000001,2.00000000916134e-06,"{161.0, 18.0, 13.8}",orange,LAS VEGAS 71,3,ng,Clark,Nevada
POINT (-114.9283 35.8719),112.220004,112.22,4.0000000041118255e-06,"{345.0, 161.0, 13.8, 1.0}",yellow,BUNKERVILLE 1,5,solar,Clark,Nevada
POINT (-117.4739 40.1808),11.460001,11.46,9.999999992515995e-07,"{161.0, 22.0, 1.0}",yellow,IMLAY,6,solar,Pershing,Nevada
POINT (-116.9119 39.5911),23.200001999999998,23.2,1.999999998503199e-06,"{345.0, 161.0, 13.8, 1.0}",yellow,AUSTIN,6,solar,Lander,Nevada
POINT (-114.9817 35.7998),0.0,0.0,0.0,{161.0},yellow,BOULDER CITY 5,1,solar,Clark,Nevada
