coordinates,bus_name,kilovolt levels,number of buses,vm,county,state
POINT (-118.2288 34.1253),PASADENA 2,{138.0},2,1.07976,Los Angeles,California
POINT (-118.0838 34.1385),ALTADENA 1,{138.0},1,1.066458,Los Angeles,California
POINT (-118.2188 34.2488),ALTADENA 2,{138.0},1,1.075722,Los Angeles,California
POINT (-118.0407 33.8185),LONG BEACH 18,{138.0},1,1.057405,Orange,California
POINT (-118.02 33.6691),LONG BEACH 19,{138.0},2,1.057305,Orange,California
POINT (-118.1094 34.1493),PASADENA 3,{138.0},1,1.081775,Los Angeles,California
POINT (-118.1417 34.0011),DOWNEY 3,{138.0},3,1.075791,Los Angeles,California
POINT (-118.064 34.031),DOWNEY 4,{138.0},1,1.072635,Los Angeles,California
POINT (-118.0533 34.1796),ALHAMBRA 2,{138.0},3,1.064753,Los Angeles,California
POINT (-118.162 34.0417),ALHAMBRA 3,"{345.0, 138.0}",2,1.079628,Los Angeles,California
POINT (-118.1138 33.8589),BELLFLOWER 1,{138.0},1,1.074683,Los Angeles,California
POINT (-118.1015 33.8148),BELLFLOWER 2,{138.0},2,1.052247,Los Angeles,California
POINT (-118.0458 34.0699),PASADENA 4,{138.0},2,1.070156,Los Angeles,California
POINT (-118.2179 34.3761),PALMDALE 3,"{345.0, 138.0}",3,1.074634,Los Angeles,California
POINT (-118.0794 34.3671),PALMDALE 4,{138.0},1,1.067184,Los Angeles,California
POINT (-118.151 33.8846),DOWNEY 5,{138.0},1,1.065163,Los Angeles,California
POINT (-118.0353 33.7784),LONG BEACH 20,{138.0},2,1.057895,Orange,California
POINT (-118.2011 33.8388),LONG BEACH 21,{138.0},1,1.071877,Los Angeles,California
POINT (-118.0763 33.7719),LAKEWOOD 8,{138.0},4,1.058875,Orange,California
POINT (-118.1307 33.8807),LONG BEACH 22,{138.0},1,1.063062,Los Angeles,California
POINT (-118.0271 33.7929),LONG BEACH 23,{138.0},2,1.055503,Orange,California
POINT (-118.2039 33.9669),MONTEBELLO 1,{138.0},3,1.078896,Los Angeles,California
POINT (-118.0453 33.9436),MONTEBELLO 2,{138.0},1,1.043743,Los Angeles,California
POINT (-118.1051 34.0325),SAN GABRIEL 1,{138.0},1,1.080006,Los Angeles,California
POINT (-118.0064 34.0735),SAN GABRIEL 2,{138.0},1,1.075761,Los Angeles,California
POINT (-118.1866 34.0612),PICO RIVERA 1,{138.0},1,1.07858,Los Angeles,California
POINT (-118.0853 34.0734),PICO RIVERA 2,{138.0},2,1.085942,Los Angeles,California
POINT (-118.1312 34.0688),PASADENA 5,{138.0},1,1.086435,Los Angeles,California
POINT (-118.0147 34.2482),PASADENA 6,{138.0},1,1.066515,Los Angeles,California
POINT (-118.1294 34.0105),ROSEMEAD 1,{138.0},1,1.079776,Los Angeles,California
POINT (-118.0325 34.0472),ROSEMEAD 2,"{1.0, 138.0, 18.0}",6,1.071215,Los Angeles,California
POINT (-118.1069 33.9175),NORWALK 1,{138.0},1,1.060237,Los Angeles,California
POINT (-118.1381 33.9191),NORWALK 2,{138.0},1,1.062494,Los Angeles,California
POINT (-118.1056 33.9708),NORWALK 3,"{345.0, 138.0, 13.8, 1.0}",4,1.033445,Los Angeles,California
POINT (-118.0018 33.9227),ARTESIA,{138.0},3,1.05513,Los Angeles,California
POINT (-118.1728 33.7795),LAKEWOOD 9,{138.0},3,1.064813,Los Angeles,California
POINT (-118.0365 33.7623),SEAL BEACH,{138.0},1,1.057353,Orange,California
POINT (-118.1283 33.7899),CERRITOS 1,{138.0},1,1.055154,Los Angeles,California
POINT (-118.0151 33.7807),CERRITOS 2,{138.0},1,1.057138,Orange,California
POINT (-117.9695 34.0306),WHITTIER 1,{138.0},1,1.072799,Los Angeles,California
POINT (-118.1291 33.9066),SANTA FE SPRINGS,{138.0},2,1.062136,Los Angeles,California
POINT (-118.1159 34.1795),TEMPLE CITY 1,{138.0},1,1.080927,Los Angeles,California
POINT (-117.9912 34.0495),TEMPLE CITY 2,{138.0},2,1.069678,Los Angeles,California
POINT (-118.1013 34.1105),SOUTH EL MONTE 1,{138.0},1,1.077102,Los Angeles,California
POINT (-118.0347 34.0357),SOUTH EL MONTE 2,{138.0},1,1.070767,Los Angeles,California
POINT (-118.0824 34.1167),ARCADIA 1,{138.0},1,1.067797,Los Angeles,California
POINT (-118.107 34.0821),ARCADIA 2,{138.0},2,1.084189,Los Angeles,California
POINT (-117.9963 34.0324),EL MONTE 1,{138.0},1,1.075398,Los Angeles,California
POINT (-118.0577 33.8556),CYPRESS 1,{138.0},1,1.052403,Los Angeles,California
POINT (-118.068 33.7935),CYPRESS 2,{138.0},2,1.05616,Orange,California
POINT (-117.9606 33.9208),WHITTIER 2,{138.0},1,1.059008,Orange,California
POINT (-117.9608 34.0977),WHITTIER 3,{138.0},2,1.081652,Los Angeles,California
POINT (-118.0331 34.1117),ARCADIA 3,{138.0},1,1.072174,Los Angeles,California
POINT (-117.9489 34.0823),ARCADIA 4,{138.0},2,1.078693,Los Angeles,California
POINT (-118.0295 34.0078),WHITTIER 4,{138.0},1,1.075553,Los Angeles,California
POINT (-118.081 33.8959),WHITTIER 5,{138.0},1,1.052708,Los Angeles,California
POINT (-117.963 34.6506),PALMDALE 5,{138.0},2,1.055515,Los Angeles,California
POINT (-118.0072 34.479),PALMDALE 6,{138.0},1,1.06929,Los Angeles,California
POINT (-117.9854 34.1137),EL MONTE 2,"{345.0, 138.0}",2,1.072651,Los Angeles,California
POINT (-118.0526 34.1486),EL MONTE 3,{138.0},1,1.066979,Los Angeles,California
POINT (-118.0277 33.9963),WHITTIER 6,{138.0},1,1.07554,Los Angeles,California
POINT (-117.9737 33.9014),WHITTIER 7,{138.0},1,1.056734,Orange,California
POINT (-117.9726 33.8111),LA MIRADA,{138.0},1,1.059945,Orange,California
POINT (-117.942 34.2077),MONROVIA 1,{138.0},2,1.073473,Los Angeles,California
POINT (-117.9166 34.0529),MONROVIA 2,{138.0},2,1.078756,Los Angeles,California
POINT (-117.9653 33.9782),WHITTIER 8,{138.0},1,1.069656,Los Angeles,California
POINT (-118.0156 34.1034),LA PUENTE 1,{138.0},2,1.073779,Los Angeles,California
POINT (-118.0505 34.1042),LA PUENTE 2,{138.0},1,1.071573,Los Angeles,California
POINT (-117.9502 34.5709),LITTLEROCK,{138.0},1,1.076588,Los Angeles,California
POINT (-117.9273 33.9542),HACIENDA HEIGHTS 1,{138.0},1,1.07199,Los Angeles,California
POINT (-118.0327 33.9189),HACIENDA HEIGHTS 2,"{345.0, 138.0}",2,1.060032,Los Angeles,California
POINT (-117.873 34.0059),BALDWIN PARK 1,{138.0},3,1.072734,Los Angeles,California
POINT (-117.9831 34.0222),BALDWIN PARK 2,{138.0},2,1.069807,Los Angeles,California
POINT (-117.903 34.0887),BALDWIN PARK 3,{138.0},1,1.070034,Los Angeles,California
POINT (-118.0138 34.1343),DUARTE 1,{138.0},1,1.07928,Los Angeles,California
POINT (-117.9199 34.2174),DUARTE 2,{138.0},1,1.071567,Los Angeles,California
POINT (-117.9435 33.8635),LA HABRA 1,{138.0},1,1.054359,Orange,California
POINT (-118.0249 33.9518),LA HABRA 2,{138.0},3,1.045741,Los Angeles,California
POINT (-117.9714 34.0553),WEST COVINA 1,{138.0},1,1.069839,Los Angeles,California
POINT (-117.8425 33.9892),WEST COVINA 2,{138.0},1,1.073651,Los Angeles,California
POINT (-117.8714 34.1076),LA PUENTE 3,{138.0},2,1.070291,Los Angeles,California
POINT (-117.9334 34.1225),LA PUENTE 4,{138.0},1,1.081438,Los Angeles,California
POINT (-117.8825 34.1271),COVINA 1,{138.0},1,1.070848,Los Angeles,California
POINT (-117.9014 34.1636),COVINA 2,{138.0},1,1.072705,Los Angeles,California
POINT (-117.9795 33.9881),WEST COVINA 3,{138.0},2,1.073298,Los Angeles,California
POINT (-117.8861 34.0491),WEST COVINA 4,{138.0},1,1.073866,Los Angeles,California
POINT (-117.8621 33.9252),ROWLAND HEIGHTS 1,{138.0},1,1.048149,Orange,California
POINT (-117.9366 33.8934),ROWLAND HEIGHTS 2,{138.0},1,1.054474,Orange,California
POINT (-117.8479 34.0238),WEST COVINA 5,{138.0},4,1.07291,Los Angeles,California
POINT (-117.9205 34.0762),WEST COVINA 6,"{1.0, 138.0, 18.0}",4,1.074237,Los Angeles,California
POINT (-117.9595 34.1363),COVINA 3,{138.0},1,1.082771,Los Angeles,California
POINT (-117.7978 35.0958),CALIFORNIA CITY,{138.0},1,1.088979,Kern,California
POINT (-117.789 34.3051),AZUSA 1,{138.0},2,1.055139,Los Angeles,California
POINT (-117.9637 34.2367),AZUSA 2,"{345.0, 138.0, 13.8, 1.0}",6,1.066339,Los Angeles,California
POINT (-117.9265 34.7784),LANCASTER 5,{138.0},1,1.051474,Los Angeles,California
POINT (-117.7705 34.6668),LANCASTER 6,"{345.0, 138.0, 13.8, 1.0}",5,1.077064,Los Angeles,California
POINT (-117.7886 34.0362),GLENDORA 1,{138.0},2,1.073237,Los Angeles,California
POINT (-117.7842 34.0697),WALNUT 1,{138.0},2,1.074071,Los Angeles,California
POINT (-117.7927 34.0085),WALNUT 2,{138.0},1,1.074859,Los Angeles,California
POINT (-117.8165 34.1507),COVINA 4,{138.0},1,1.070324,Los Angeles,California
POINT (-117.7683 34.1222),GLENDORA 2,{138.0},1,1.069237,Los Angeles,California
POINT (-117.7703 34.1891),GLENDORA 3,{138.0},1,1.068453,Los Angeles,California
POINT (-117.7931 34.0704),DIAMOND BAR 1,{138.0},3,1.074752,Los Angeles,California
POINT (-117.9141 33.9387),DIAMOND BAR 2,{138.0},1,1.07108,Orange,California
POINT (-117.7654 34.5035),PALMDALE 7,{138.0},2,1.062689,Los Angeles,California
POINT (-117.8272 34.1736),SAN DIMAS 1,{138.0},1,1.068161,Los Angeles,California
POINT (-117.8492 34.1903),SAN DIMAS 2,{138.0},1,1.06791,Los Angeles,California
POINT (-117.7334 34.0385),POMONA 1,{138.0},3,1.067499,Los Angeles,California
POINT (-117.8491 34.1251),POMONA 2,{138.0},2,1.073065,Los Angeles,California
POINT (-117.7242 34.1522),LA VERNE 1,{138.0},2,1.063914,Los Angeles,California
POINT (-117.7778 34.205),LA VERNE 2,{138.0},1,1.0664,Los Angeles,California
POINT (-117.7964 33.9475),POMONA 3,"{345.0, 138.0, 13.8, 1.0}",4,1.048023,Los Angeles,California
POINT (-117.7409 33.9559),POMONA 4,{138.0},3,1.071458,San Bernardino,California
POINT (-117.7479 34.0621),POMONA 5,{138.0},1,1.071281,Los Angeles,California
POINT (-117.824 34.1235),POMONA 6,"{345.0, 138.0}",3,1.063201,Los Angeles,California
POINT (-117.7999 34.1242),CLAREMONT 1,{138.0},1,1.070782,Los Angeles,California
POINT (-117.8025 34.1986),CLAREMONT 2,{138.0},1,1.066902,Los Angeles,California
POINT (-117.669 35.6925),RIDGECREST 1,{138.0},4,1.093955,Kern,California
POINT (-117.6322 35.5741),RIDGECREST 2,{138.0},2,1.093777,San Bernardino,California
POINT (-117.617 34.3747),WRIGHTWOOD,{138.0},2,1.060643,San Bernardino,California
POINT (-119.1689 34.1292),OXNARD 9,"{1.0, 138.0, 13.2, 13.8, 345.0, 765.0}",8,1.066205,Ventura,California
POINT (-118.4612 34.9349),ROSAMOND 2,"{345.0, 138.0, 13.8}",3,1.090261,Kern,California
POINT (-118.2924 35.0609),MOJAVE 1,{138.0},1,1.094776,Kern,California
POINT (-118.2491 33.8759),CARSON 5,"{138.0, 13.8}",3,1.075057,Los Angeles,California
POINT (-118.8519 35.3),BAKERSFIELD 21,{138.0},1,1.084516,Kern,California
POINT (-119.1667 34.196),OXNARD 10,{138.0},3,1.086018,Ventura,California
POINT (-119.9166 35.3237),SANTA MARGARITA 1,"{345.0, 138.0, 18.0, 1.0}",7,1.095072,San Luis Obispo,California
POINT (-118.4325 34.8914),ROSAMOND 3,"{345.0, 138.0, 13.8}",3,1.076281,Kern,California
POINT (-118.2282 33.777),CARSON 6,"{1.0, 138.0, 13.8}",4,1.080716,Los Angeles,California
POINT (-118.2141 33.7684),LONG BEACH 24,{138.0},2,1.070552,Los Angeles,California
POINT (-118.1754 35.248),CANTIL,"{1.0, 138.0, 13.8, 18.0, 345.0}",5,1.093451,Kern,California
POINT (-118.2953 35.0239),MOJAVE 2,"{138.0, 13.8, 18.0, 345.0, 765.0}",5,1.074233,Kern,California
POINT (-117.5557 35.0122),BORON 1,"{345.0, 138.0, 13.8, 1.0}",5,1.0844,San Bernardino,California
POINT (-118.2448 33.8166),CARSON 7,"{345.0, 138.0}",2,1.06702,Los Angeles,California
POINT (-117.9449 34.0089),LA PUENTE 5,"{345.0, 138.0, 765.0}",4,1.064266,Los Angeles,California
POINT (-119.9001 34.4314),GOLETA 3,"{138.0, 20.0}",4,1.092215,Santa Barbara,California
POINT (-118.4244 34.7803),LANCASTER 7,"{345.0, 138.0, 13.8, 765.0}",4,1.081258,Los Angeles,California
POINT (-118.148 34.1254),PASADENA 7,"{138.0, 13.8}",2,1.068228,Los Angeles,California
POINT (-119.0062 35.5763),BAKERSFIELD 22,{138.0},1,1.090638,Kern,California
POINT (-119.2469 34.2056),OXNARD 11,"{138.0, 13.8}",3,1.094958,Ventura,California
POINT (-118.3345 34.9383),ROSAMOND 4,"{345.0, 138.0, 18.0}",5,1.089785,Kern,California
POINT (-118.2469 35.2608),TEHACHAPI 3,{138.0},1,1.096553,Kern,California
POINT (-118.2383 34.9003),ROSAMOND 5,{138.0},1,1.090587,Kern,California
POINT (-118.844 34.9556),LEBEC 1,"{138.0, 13.8, 24.0, 345.0, 765.0}",9,1.065425,Kern,California
POINT (-119.0512 35.7415),BAKERSFIELD 23,"{138.0, 13.8}",3,1.087058,Kern,California
POINT (-119.7375 35.4791),TUPMAN 1,"{138.0, 18.0}",2,1.095966,Kern,California
POINT (-118.9617 35.4406),BAKERSFIELD 24,{138.0},1,1.088978,Kern,California
POINT (-118.3147 34.1772),BURBANK 8,{138.0},1,1.089338,Los Angeles,California
POINT (-118.3167 35.0697),MOJAVE 3,{138.0},1,1.09334,Kern,California
POINT (-118.9544 35.1028),BAKERSFIELD 25,{138.0},1,1.076053,Kern,California
POINT (-118.425 33.9106),EL SEGUNDO 1,"{1.0, 138.0, 13.8, 18.0, 345.0}",8,1.085261,Los Angeles,California
POINT (-118.2399 33.7592),LONG BEACH 25,{138.0},3,1.071093,Los Angeles,California
POINT (-118.1046 33.9296),NORWALK 4,"{345.0, 138.0, 20.0, 13.8}",4,1.064566,Los Angeles,California
POINT (-118.3528 34.8486),ROSAMOND 6,"{345.0, 138.0}",3,1.085667,Kern,California
POINT (-118.4242 33.9098),EL SEGUNDO 2,"{138.0, 13.8}",2,1.091516,Los Angeles,California
POINT (-118.1856 35.0267),MOJAVE 4,"{138.0, 13.8}",4,1.08782,Kern,California
POINT (-119.2769 35.7906),DELANO 3,{138.0},1,1.087798,Tulare,California
POINT (-118.4547 34.5902),SANTA CLARITA 4,{138.0},1,1.082955,Los Angeles,California
POINT (-118.2572 35.05),MOJAVE 5,"{1.0, 138.0, 13.8, 18.0, 22.0, 345.0}",12,1.087872,Kern,California
POINT (-118.3372 35.1011),TEHACHAPI 4,{138.0},2,1.09391,Kern,California
POINT (-119.0401 35.5165),BAKERSFIELD 26,"{138.0, 18.0, 13.8}",3,1.093968,Kern,California
POINT (-119.0305 35.509),BAKERSFIELD 27,"{1.0, 138.0, 22.0}",4,1.067583,Kern,California
POINT (-118.3547 35.0542),TEHACHAPI 5,"{345.0, 138.0, 13.8}",6,1.066883,Kern,California
POINT (-118.2248 33.7641),LONG BEACH 26,"{345.0, 138.0}",2,1.067171,Los Angeles,California
POINT (-118.2233 35.0268),MOJAVE 6,"{138.0, 18.0}",3,1.095284,Kern,California
POINT (-118.1714 35.0506),MOJAVE 7,{138.0},1,1.096567,Kern,California
POINT (-117.5659 35.0148),BORON 2,{138.0},1,1.085823,San Bernardino,California
POINT (-119.046 35.5005),BAKERSFIELD 28,"{138.0, 18.0}",3,1.092146,Kern,California
POINT (-120.0444 34.4648),GOLETA 4,{138.0},2,1.089661,Santa Barbara,California
POINT (-118.1494 34.126),PASADENA 8,"{345.0, 138.0}",3,1.078236,Los Angeles,California
POINT (-118.2644 33.7856),WILMINGTON 3,"{345.0, 138.0, 765.0}",3,1.056741,Los Angeles,California
POINT (-118.3247 34.6892),LANCASTER 8,"{345.0, 138.0, 13.8, 1.0}",4,1.082127,Los Angeles,California
POINT (-118.2932 35.0309),MOJAVE 8,"{138.0, 13.8}",2,1.06847,Kern,California
POINT (-118.3158 35.075),MOJAVE 9,{138.0},2,1.093375,Kern,California
POINT (-119.662 35.3195),MC KITTRICK 1,{138.0},1,1.089754,Kern,California
POINT (-118.2219 33.9986),LOS ANGELES 80,"{345.0, 138.0, 22.0, 1.0}",4,1.07719,Los Angeles,California
POINT (-118.2348 35.0267),MOJAVE 10,"{138.0, 22.0}",2,1.096169,Kern,California
POINT (-119.1664 34.1958),OXNARD 12,"{345.0, 138.0, 13.8, 1.0}",4,1.08245,Ventura,California
POINT (-119.0129 35.4405),BAKERSFIELD 29,{138.0},1,1.088029,Kern,California
POINT (-118.2118 35.0434),MOJAVE 11,"{345.0, 138.0, 13.8}",3,1.081421,Kern,California
POINT (-119.0298 35.4837),BAKERSFIELD 30,{138.0},1,1.090343,Kern,California
POINT (-118.395 33.8504),REDONDO BEACH 4,"{138.0, 13.8, 18.0, 345.0, 765.0}",8,1.046897,Los Angeles,California
POINT (-117.7742 34.0594),POMONA 7,"{345.0, 138.0}",4,1.060054,Los Angeles,California
POINT (-118.4439 34.0692),LOS ANGELES 81,{138.0},3,1.079785,Los Angeles,California
POINT (-118.4031 33.9058),EL SEGUNDO 3,"{1.0, 138.0, 13.8}",5,1.093287,Los Angeles,California
POINT (-118.9266 35.4192),BAKERSFIELD 31,{138.0},1,1.088554,Kern,California
POINT (-119.2511 34.2067),OXNARD 13,"{138.0, 13.8, 22.0, 345.0, 765.0}",6,1.068633,Ventura,California
POINT (-118.2867 33.7686),WILMINGTON 4,"{24.0, 138.0, 18.0}",3,1.078944,Los Angeles,California
POINT (-118.3147 34.1764),BURBANK 9,{138.0},2,1.089268,Los Angeles,California
POINT (-118.3534 35.0337),MOJAVE 12,"{138.0, 13.8}",2,1.096956,Kern,California
POINT (-119.585 35.2097),FELLOWS 1,"{138.0, 13.8, 18.0, 345.0, 765.0}",6,1.067206,Kern,California
POINT (-119.0299 35.4837),BAKERSFIELD 32,"{345.0, 138.0, 18.0}",4,1.084913,Kern,California
POINT (-118.3913 34.245),SUN VALLEY 2,"{138.0, 13.8, 18.0, 345.0, 765.0}",7,1.065533,Los Angeles,California
POINT (-118.2836 33.7683),CARSON 8,"{1.0, 138.0, 18.0, 20.0}",6,1.073012,Los Angeles,California
POINT (-119.4436 35.093),TAFT 2,"{345.0, 138.0, 13.8}",4,1.076309,Kern,California
POINT (-118.0241 34.0233),WHITTIER 9,"{345.0, 138.0, 13.8, 1.0}",5,1.046687,Los Angeles,California
POINT (-118.2347 33.7917),CARSON 9,{138.0},3,1.071801,Los Angeles,California
POINT (-118.7881 34.6853),LEBEC 2,"{345.0, 138.0, 18.0}",4,1.080294,Los Angeles,California
POINT (-118.1864 35.3478),WELDON,"{345.0, 138.0, 13.8}",3,1.076866,Kern,California
POINT (-119.2337 35.7144),DELANO 4,"{345.0, 138.0}",2,1.095253,Kern,California
POINT (-117.5661 35.021),BORON 3,"{138.0, 13.8}",2,1.084907,San Bernardino,California
POINT (-118.1009 33.7688),LONG BEACH 27,"{138.0, 13.8, 18.0, 20.0, 345.0, 765.0}",10,1.031098,Los Angeles,California
POINT (-118.4999 34.3801),NEWHALL 3,"{345.0, 138.0, 13.8, 1.0}",5,1.084018,Los Angeles,California
POINT (-117.701 35.0329),BORON 4,"{138.0, 13.8}",3,1.083734,Kern,California
POINT (-118.2422 35.0086),MOJAVE 13,"{1.0, 138.0, 13.8, 18.0, 345.0}",7,1.093102,Kern,California
POINT (-118.39 35.065),MOJAVE 14,"{138.0, 13.8}",6,1.088873,Kern,California
POINT (-118.3153 34.1786),BURBANK 10,"{138.0, 13.8, 18.0, 345.0, 765.0}",5,1.067166,Los Angeles,California
POINT (-120.8555 35.2115),AVILA BEACH,"{138.0, 13.8, 24.0, 345.0, 765.0}",7,1.095196,San Luis Obispo,California
POINT (-118.33 33.8534),TORRANCE 8,"{1.0, 138.0, 18.0}",5,1.076533,Los Angeles,California
POINT (-120.0686 35.4056),SANTA MARGARITA 2,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",8,1.090171,San Luis Obispo,California
POINT (-118.5047 34.7892),LANCASTER 9,{138.0},2,1.085858,Los Angeles,California
POINT (-119.4707 35.2803),TUPMAN 2,"{1.0, 138.0, 13.8, 18.0, 20.0, 345.0, 765.0}",8,1.077816,Kern,California
POINT (-119.5919 35.2956),MC KITTRICK 2,"{138.0, 13.8, 18.0, 345.0, 765.0}",7,1.082491,Kern,California
POINT (-119.6294 35.2269),FELLOWS 2,"{345.0, 138.0, 13.8, 1.0}",4,1.089897,Kern,California
POINT (-118.0991 33.7647),LONG BEACH 28,"{138.0, 13.8, 22.0, 24.0, 345.0}",14,1.045577,Los Angeles,California
POINT (-119.571 35.1946),FELLOWS 3,{138.0},1,1.090718,Kern,California
POINT (-118.2303 33.7771),WILMINGTON 5,"{1.0, 138.0, 13.8, 22.0}",8,1.076861,Los Angeles,California
POINT (-118.6566 34.5872),CASTAIC 3,"{138.0, 13.8, 13.2, 18.0, 345.0, 765.0}",11,1.075905,Los Angeles,California
POINT (-118.4362 35.7762),KERNVILLE,"{345.0, 138.0}",2,1.090745,Kern,California
POINT (-118.4949 34.3841),NEWHALL 4,"{138.0, 13.8}",2,1.079574,Los Angeles,California
POINT (-118.2414 35.0083),MOJAVE 15,"{138.0, 13.8}",3,1.079518,Kern,California
POINT (-118.4276 33.9182),PLAYA DEL REY,"{345.0, 138.0, 13.8, 765.0}",6,1.046443,Los Angeles,California
POINT (-119.4299 35.0968),BAKERSFIELD 33,"{138.0, 13.8}",2,1.082235,Kern,California
POINT (-118.5251 34.5343),SANTA CLARITA 5,"{1.0, 138.0, 13.8, 18.0, 24.0, 345.0}",9,1.083793,Los Angeles,California
POINT (-119.7075 35.4386),MC KITTRICK 3,"{345.0, 138.0, 13.8, 1.0}",4,1.092174,Kern,California
POINT (-118.2 35.06),MOJAVE 16,"{138.0, 22.0}",3,1.097497,Kern,California
POINT (-118.3967 34.8022),ROSAMOND 7,{138.0},1,1.085526,Los Angeles,California
POINT (-118.2782 34.1556),GLENDALE 8,"{345.0, 138.0}",2,1.084771,Los Angeles,California
POINT (-118.0287 33.6965),LOS ALAMITOS,{138.0},1,1.058093,Orange,California
POINT (-118.0342 33.7682),HUNTINGTON BEACH 1,{138.0},2,1.057288,Orange,California
POINT (-118.1095 33.7639),HUNTINGTON BEACH 2,{138.0},1,1.059553,Los Angeles,California
POINT (-118.0438 33.8797),BUENA PARK 1,{138.0},1,1.054184,Los Angeles,California
POINT (-117.9934 33.7741),BUENA PARK 2,{138.0},1,1.058261,Orange,California
POINT (-118.0915 33.7672),HUNTINGTON BEACH 3,{138.0},2,1.061334,Orange,California
POINT (-118.0058 33.6582),HUNTINGTON BEACH 4,{138.0},1,1.056989,Orange,California
POINT (-118.0438 33.8023),STANTON 1,{138.0},1,1.054809,Orange,California
POINT (-117.9668 33.7709),WESTMINSTER 1,{138.0},1,1.053205,Orange,California
POINT (-118.0273 33.722),WESTMINSTER 2,"{345.0, 138.0}",3,1.056084,Orange,California
POINT (-117.9283 33.7523),WESTMINSTER 3,{138.0},2,1.054648,Orange,California
POINT (-118.0043 33.8842),BUENA PARK 3,{138.0},2,1.053382,Los Angeles,California
POINT (-117.9589 33.8056),GARDEN GROVE 1,{138.0},3,1.059144,Orange,California
POINT (-118.0074 33.8607),GARDEN GROVE 2,{138.0},1,1.053609,Orange,California
POINT (-118.0443 33.7684),ANAHEIM 1,{138.0},1,1.057844,Orange,California
POINT (-118.074 33.7865),ANAHEIM 2,"{345.0, 138.0}",2,1.05101,Orange,California
POINT (-117.9927 33.7359),ANAHEIM 3,{138.0},2,1.059621,Orange,California
POINT (-117.9141 33.702),GARDEN GROVE 3,{138.0},2,1.054334,Orange,California
POINT (-118.0136 33.7527),HUNTINGTON BEACH 5,{138.0},1,1.057055,Orange,California
POINT (-117.9272 33.6056),HUNTINGTON BEACH 6,{138.0},2,1.054657,Orange,California
POINT (-117.8927 33.9414),FULLERTON 1,{138.0},1,1.07088,Orange,California
POINT (-117.9557 33.7877),FULLERTON 2,{138.0},2,1.059302,Orange,California
POINT (-117.8642 33.7851),ANAHEIM 4,"{345.0, 138.0}",3,1.055137,Orange,California
POINT (-117.9416 33.7948),ANAHEIM 5,"{345.0, 138.0}",2,1.055754,Orange,California
POINT (-117.8972 33.6391),FOUNTAIN VALLEY 1,{138.0},2,1.055838,Orange,California
POINT (-118.0467 33.7061),FOUNTAIN VALLEY 2,{138.0},1,1.057878,Orange,California
POINT (-117.8167 33.5543),NEWPORT BEACH 1,{138.0},2,1.059193,Orange,California
POINT (-117.8645 33.7787),GARDEN GROVE 4,{138.0},1,1.060657,Orange,California
POINT (-117.8336 33.7212),GARDEN GROVE 5,"{345.0, 138.0}",4,1.049411,Orange,California
POINT (-117.8683 33.863),GARDEN GROVE 6,{138.0},2,1.051286,Orange,California
POINT (-117.9758 33.819),GARDEN GROVE 7,{138.0},1,1.058788,Orange,California
POINT (-117.9311 33.804),FULLERTON 3,{138.0},1,1.058023,Orange,California
POINT (-117.8573 33.7985),ANAHEIM 6,{138.0},1,1.058567,Orange,California
POINT (-117.8792 33.8682),ANAHEIM 7,"{1.0, 138.0, 13.8}",4,1.051332,Orange,California
POINT (-117.8385 33.5947),COSTA MESA 1,"{345.0, 138.0, 18.0, 1.0}",4,1.050278,Orange,California
POINT (-117.9511 33.6805),COSTA MESA 2,{138.0},2,1.055366,Orange,California
POINT (-117.8988 33.8384),FULLERTON 4,{138.0},1,1.054902,Orange,California
POINT (-117.8519 33.6033),COSTA MESA 3,{138.0},1,1.054526,Orange,California
POINT (-117.8835 33.6826),COSTA MESA 4,{138.0},1,1.056367,Orange,California
POINT (-117.8858 33.7141),SANTA ANA 1,{138.0},2,1.064467,Orange,California
POINT (-117.974 33.6871),SANTA ANA 2,{138.0},1,1.054249,Orange,California
POINT (-117.9019 33.9053),ANAHEIM 8,{138.0},2,1.056006,Orange,California
POINT (-117.9897 33.7892),ANAHEIM 9,{138.0},1,1.058139,Orange,California
POINT (-117.9198 33.6403),SANTA ANA 3,"{345.0, 138.0, 13.8, 1.0}",5,1.057063,Orange,California
POINT (-117.8069 33.7416),SANTA ANA 4,{138.0},2,1.073587,Orange,California
POINT (-117.8194 33.8417),FULLERTON 5,{138.0},3,1.048835,Orange,California
POINT (-117.9704 33.9694),BREA 1,{138.0},1,1.06703,Los Angeles,California
POINT (-117.8645 33.9665),BREA 2,{138.0},3,1.07207,Los Angeles,California
POINT (-117.7892 33.723),SANTA ANA 5,{138.0},2,1.065207,Orange,California
POINT (-117.8612 33.7291),NEWPORT BEACH 2,{138.0},1,1.070368,Orange,California
POINT (-117.7952 33.8437),ANAHEIM 10,{138.0},2,1.04778,Orange,California
POINT (-117.8023 33.814),ANAHEIM 11,"{1.0, 138.0, 13.8}",4,1.053169,Orange,California
POINT (-117.7811 33.6522),SANTA ANA 6,"{345.0, 138.0}",3,1.062138,Orange,California
POINT (-117.9406 33.7642),SANTA ANA 7,{138.0},3,1.055813,Orange,California
POINT (-117.9232 33.7858),SANTA ANA 8,{138.0},1,1.053331,Orange,California
POINT (-117.7775 33.7689),SANTA ANA 9,{138.0},2,1.05551,Orange,California
